age,education,education.num,capital.gain,hours.per.week,income
34,Assoc-voc,11,0,40,<=50K
29,HS-grad,9,0,35,<=50K
23,Assoc-acdm,12,0,20,<=50K
24,HS-grad,9,0,40,<=50K
62,Some-college,10,0,40,<=50K
77,Some-college,10,0,1,<=50K
47,Prof-school,15,0,60,>50K
48,Doctorate,16,0,60,>50K
42,Prof-school,15,0,50,>50K
31,Masters,14,0,40,>50K
43,Bachelors,13,0,40,>50K
50,Doctorate,16,0,65,>50K
36,Bachelors,13,0,50,>50K
49,Masters,14,0,40,>50K
38,HS-grad,9,0,40,>50K
48,Doctorate,16,0,46,>50K
46,Bachelors,13,0,40,>50K
56,HS-grad,9,0,60,>50K
37,HS-grad,9,0,45,>50K
51,HS-grad,9,0,40,>50K
43,Masters,14,0,40,>50K
46,HS-grad,9,0,40,<=50K
42,Masters,14,0,60,>50K
45,Some-college,10,0,35,>50K
23,Some-college,10,0,40,<=50K
45,Bachelors,13,0,40,>50K
30,HS-grad,9,0,40,<=50K
49,Doctorate,16,0,60,>50K
49,Assoc-acdm,12,0,40,>50K
57,Prof-school,15,0,40,>50K
42,Bachelors,13,0,80,>50K
43,Some-college,10,0,40,>50K
43,Some-college,10,0,40,>50K
42,Prof-school,15,0,60,>50K
53,Bachelors,13,0,55,>50K
40,Masters,14,0,48,>50K
46,Masters,14,0,40,>50K
41,Bachelors,13,0,60,>50K
49,Bachelors,13,0,40,>50K
31,Bachelors,13,0,50,>50K
34,Masters,14,0,50,>50K
40,Masters,14,0,40,>50K
50,Some-college,10,0,38,>50K
54,HS-grad,9,0,40,>50K
49,Some-college,10,0,50,>50K
44,Masters,14,0,60,>50K
57,Bachelors,13,0,40,>50K
28,Masters,14,0,55,<=50K
57,Some-college,10,0,40,>50K
59,Bachelors,13,0,43,>50K
38,Assoc-acdm,12,0,40,>50K
36,HS-grad,9,0,60,>50K
55,Some-college,10,0,40,>50K
34,HS-grad,9,0,60,>50K
51,Some-college,10,0,50,>50K
46,HS-grad,9,0,70,>50K
33,Masters,14,0,45,>50K
31,Bachelors,13,0,35,>50K
31,Bachelors,13,0,35,>50K
59,HS-grad,9,0,52,>50K
48,Assoc-acdm,12,0,40,>50K
33,Bachelors,13,0,45,>50K
46,Some-college,10,0,50,>50K
53,Bachelors,13,0,40,>50K
39,Masters,14,0,18,>50K
44,HS-grad,9,0,40,>50K
45,Masters,14,0,50,>50K
42,Bachelors,13,0,40,>50K
24,7th-8th,4,0,40,>50K
57,Bachelors,13,0,40,>50K
51,Bachelors,13,0,40,>50K
50,Bachelors,13,0,40,>50K
50,Bachelors,13,0,50,>50K
52,Masters,14,0,50,>50K
46,Bachelors,13,0,42,>50K
44,Some-college,10,0,40,>50K
47,Bachelors,13,0,45,>50K
36,Bachelors,13,0,45,>50K
34,Some-college,10,0,38,>50K
49,Bachelors,13,0,50,>50K
45,Bachelors,13,0,45,>50K
46,Bachelors,13,0,50,>50K
53,Bachelors,13,0,48,>50K
63,Doctorate,16,0,50,>50K
52,Bachelors,13,0,40,>50K
44,Bachelors,13,0,40,>50K
37,Bachelors,13,0,40,>50K
44,Doctorate,16,0,40,>50K
53,Bachelors,13,0,40,>50K
32,Bachelors,13,0,40,>50K
50,Doctorate,16,0,45,>50K
42,Masters,14,0,40,>50K
50,Assoc-acdm,12,0,40,>50K
33,Bachelors,13,0,55,>50K
50,Masters,14,0,40,>50K
32,Bachelors,13,0,32,>50K
41,HS-grad,9,0,40,>50K
54,HS-grad,9,0,55,>50K
34,Assoc-acdm,12,0,50,>50K
41,Bachelors,13,0,55,>50K
39,Prof-school,15,0,50,>50K
42,Masters,14,0,40,>50K
31,Bachelors,13,0,45,>50K
45,Assoc-voc,11,0,42,>50K
41,Bachelors,13,0,42,>50K
48,Masters,14,0,38,>50K
32,HS-grad,9,0,55,>50K
41,Some-college,10,0,40,>50K
31,Bachelors,13,0,40,>50K
30,Some-college,10,0,40,>50K
41,Some-college,10,0,40,>50K
48,Masters,14,0,40,>50K
60,Doctorate,16,0,40,>50K
38,Bachelors,13,0,65,>50K
46,5th-6th,3,0,40,<=50K
28,Some-college,10,0,55,>50K
64,Doctorate,16,0,60,>50K
31,Bachelors,13,0,20,>50K
42,Masters,14,0,50,>50K
43,Assoc-voc,11,0,32,>50K
61,Some-college,10,0,35,>50K
48,Doctorate,16,0,40,>50K
46,Masters,14,0,45,>50K
44,Bachelors,13,0,50,>50K
39,Some-college,10,0,50,>50K
46,Bachelors,13,0,40,>50K
48,Doctorate,16,0,50,>50K
27,11th,7,0,40,>50K
22,Some-college,10,0,37,<=50K
51,Bachelors,13,0,40,<=50K
48,Some-college,10,0,40,>50K
52,Assoc-voc,11,0,40,>50K
31,HS-grad,9,0,40,>50K
53,Bachelors,13,0,40,>50K
51,Masters,14,0,60,>50K
46,Doctorate,16,0,52,>50K
25,Some-college,10,0,36,>50K
46,HS-grad,9,0,40,>50K
57,HS-grad,9,0,30,>50K
44,Bachelors,13,0,50,>50K
42,HS-grad,9,0,50,>50K
42,Masters,14,0,40,>50K
30,Bachelors,13,0,55,>50K
54,Doctorate,16,0,50,>50K
46,Prof-school,15,0,45,>50K
33,Bachelors,13,0,50,>50K
38,Some-college,10,0,50,>50K
50,Masters,14,0,45,>50K
46,11th,7,0,40,>50K
41,Masters,14,0,35,>50K
56,Bachelors,13,0,65,>50K
39,Bachelors,13,0,50,>50K
46,Doctorate,16,0,50,>50K
48,7th-8th,4,0,40,<=50K
35,Doctorate,16,0,40,>50K
56,Some-college,10,0,60,>50K
49,HS-grad,9,0,60,>50K
61,Prof-school,15,0,40,>50K
43,HS-grad,9,0,40,>50K
37,HS-grad,9,0,50,<=50K
43,Bachelors,13,0,40,>50K
41,HS-grad,9,0,40,>50K
61,HS-grad,9,0,40,>50K
30,Bachelors,13,0,40,>50K
58,Some-college,10,0,40,>50K
40,HS-grad,9,0,40,>50K
44,Masters,14,0,40,>50K
40,Bachelors,13,0,32,>50K
58,HS-grad,9,0,40,<=50K
48,HS-grad,9,0,40,>50K
49,HS-grad,9,0,40,<=50K
50,Bachelors,13,0,50,>50K
43,Bachelors,13,0,55,>50K
53,HS-grad,9,0,40,>50K
42,Doctorate,16,0,50,>50K
56,HS-grad,9,0,40,>50K
44,Bachelors,13,0,56,>50K
29,Bachelors,13,0,50,>50K
35,HS-grad,9,0,40,>50K
44,HS-grad,9,0,40,>50K
34,Bachelors,13,0,48,>50K
42,Masters,14,0,55,>50K
43,Bachelors,13,0,40,>50K
57,Assoc-voc,11,0,45,<=50K
50,Bachelors,13,0,60,>50K
45,Some-college,10,0,40,>50K
32,Bachelors,13,0,60,>50K
33,Bachelors,13,0,45,>50K
43,Some-college,10,0,15,>50K
32,HS-grad,9,0,50,>50K
36,HS-grad,9,0,48,>50K
50,HS-grad,9,0,60,>50K
27,HS-grad,9,0,45,<=50K
60,Prof-school,15,0,40,>50K
53,Masters,14,0,50,>50K
61,Doctorate,16,0,40,>50K
32,Bachelors,13,0,40,>50K
52,Bachelors,13,0,60,>50K
37,HS-grad,9,0,55,>50K
33,HS-grad,9,0,40,>50K
57,Doctorate,16,0,40,>50K
43,HS-grad,9,0,99,>50K
50,HS-grad,9,0,40,>50K
43,Some-college,10,0,40,>50K
45,HS-grad,9,0,40,>50K
37,HS-grad,9,0,45,>50K
31,Masters,14,0,43,>50K
33,Assoc-acdm,12,0,50,>50K
56,HS-grad,9,0,50,>50K
43,Some-college,10,0,50,>50K
28,Some-college,10,0,40,>50K
52,10th,6,0,47,>50K
38,Bachelors,13,0,40,>50K
40,7th-8th,4,0,40,>50K
57,HS-grad,9,0,40,>50K
41,Some-college,10,0,50,>50K
37,HS-grad,9,0,50,>50K
42,HS-grad,9,0,40,>50K
44,Masters,14,0,35,>50K
39,Bachelors,13,0,50,>50K
53,Some-college,10,0,40,>50K
51,Some-college,10,0,65,>50K
38,Bachelors,13,0,50,>50K
43,Some-college,10,0,40,>50K
33,Assoc-acdm,12,0,60,>50K
43,Bachelors,13,0,40,>50K
35,Bachelors,13,0,45,>50K
41,Some-college,10,0,50,>50K
45,Some-college,10,0,40,>50K
59,HS-grad,9,0,40,>50K
30,Masters,14,0,45,>50K
32,Bachelors,13,0,45,>50K
39,Bachelors,13,0,60,>50K
43,Bachelors,13,0,70,>50K
32,Bachelors,13,0,55,>50K
39,HS-grad,9,0,40,>50K
37,Bachelors,13,0,40,>50K
34,Some-college,10,0,40,>50K
46,Some-college,10,0,45,>50K
51,Doctorate,16,0,40,>50K
29,HS-grad,9,0,55,>50K
34,Bachelors,13,0,40,>50K
50,Some-college,10,0,35,>50K
34,Some-college,10,0,40,>50K
58,10th,6,0,40,>50K
56,5th-6th,3,0,67,>50K
34,Bachelors,13,0,48,>50K
36,Bachelors,13,0,40,>50K
46,HS-grad,9,0,40,>50K
